location,coordinate,pinyin
"['東京都', '千代田區']","[(139.7263178, 35.6309711), (139.750818, 35.6713502)]","['dong_jing_du', 'qian_dai_tian_qu']"
"['渋谷', '橫濱']","[(139.70652091571725, 35.65336945), (139.66218820039327, 35.4817975)]","['se_gu', 'heng_bin']"
"['成田', '東京', '大塚']","[(140.3412988, 35.777497), (139.7539294, 35.6957752), (139.728101, 35.717177)]","['cheng_tian', 'dong_jing', 'da_zhong']"
"['成田', '淺草', '日光']","[(140.3412988, 35.777497), (140.7328589, 41.7721477), (139.60024245275503, 36.7559388)]","['cheng_tian', 'qian_cao', 'ri_guang']"
"['東京', '河口']","[(139.7256288, 35.6312558), (121.2631614, 38.8153315)]","['dong_jing', 'he_kou']"
"['河口湖', '東京']","[(138.7410533, 35.4536743), (139.7256288, 35.6312558)]","['he_kou_hu', 'dong_jing']"
"['川崎', '藤澤', '鎌倉']","[(136.9779434, 35.2538912), (139.48219863174194, 35.3510613), (139.5272119, 35.345929)]","['chuan_qi', 'teng_ze', 'lian_cang']"
"['上野', '銀座']","[(139.6270892, 35.8928066), (139.0747545, 35.0987742)]","['shang_ye', 'yin_zuo']"
"['池袋', '豊島']","[(139.7185273, 35.7312152), (141.4753281782232, 42.9752713)]","['chi_dai', 'li_dao']"
"['上野', '銀座']","[(139.6270892, 35.8928066), (139.0747545, 35.0987742)]","['shang_ye', 'yin_zuo']"
"['橫濱', '東京']","[(139.66218820039327, 35.4817975), (139.7256288, 35.6312558)]","['heng_bin', 'dong_jing']"
"['河口湖', '里根場']","[(138.7410533, 35.4536743), (139.42728427532538, 36.2054205)]","['he_kou_hu', 'li_gen_chang']"
"['三島市', '三島大社']","[(138.934857, 35.134037), (138.91159004509723, 35.12762835)]","['san_dao_shi', 'san_dao_da_she']"
"['河口湖', '天上山公園']","[(138.7410533, 35.4536743), (139.77645538340414, 35.71634805)]","['he_kou_hu', 'tian_shang_shan_gong_yuan']"
"['秋葉原', '大宮']","[(139.7708276, 35.700937), (139.6406723564542, 35.6823387)]","['qiu_ye_yuan', 'da_gong']"
"['大阪', '三鷹']","[(135.5186011, 34.6492117), (139.578613, 35.682731)]","['da_ban', 'san_ying']"
"['成田', '柏']","[(140.3412988, 35.777497), (139.9892595, 35.8540583)]","['cheng_tian', 'bai']"
"['橫濱', '成田', '輕井澤', '吉祥寺']","[(139.66218820039327, 35.4817975), (141.0264217410451, 37.45807695), (139.7775154, 35.6247915), (133.65471535153407, 34.13057965)]","['heng_bin', 'cheng_tian', 'qing_jing_ze', 'ji_xiang_si']"
