location,coordinate,pinyin
"['草屯', '中興新村', '埔里']","[(120.6841, 23.979302), (120.687622, 23.9532941), (120.9691462, 23.9666667)]","['cao_tun', 'zhong_xing_xin_cun', 'pu_li']"
"['合歡山', '石門山', '合歡東峰', '合歡尖山']","[(121.2711773, 24.1426431), (121.284592, 24.152385), (121.2811661, 24.1357613), (121.2835906, 24.1444302)]","['he_huan_shan', 'shi_men_shan', 'he_huan_dong_feng', 'he_huan_jian_shan']"
"['福爾摩沙', '珊瑚潛行']","[(120.83537694479215, 23.5983227), (121.5150711, 25.0545573)]","['fu_er_mo_sha', 'shan_hu_qian_xing']"
"['和平島公園', '基隆嶼']","[(121.76478959451649, 25.16201305), (121.78592003050898, 25.192294150000002)]","['he_ping_dao_gong_yuan', 'ji_long_yu']"
"['獅子', '南勢湖溪']","[(121.17615308689018, 24.0860489), (120.6680025, 22.3229264)]","['shi_zi', 'nan_shi_hu_xi']"
"['北投', '承天禪寺']","[(121.4985934, 25.1319307), (121.44648946188525, 24.9508675)]","['bei_tou', 'cheng_tian_chan_si']"
"['田寮區', '月世界']","[(120.3594453, 22.8699651), (120.3901365, 22.8850558)]","['tian_liao_qu', 'yue_shi_jie']"
"['春日', '士文溪']","[(121.3945061, 23.4560208), (120.606944, 22.346667)]","['chun_ri', 'shi_wen_xi']"
"['復興鄉', '拉拉山']","[(121.351898, 24.8153769), (121.434113, 24.730383)]","['fu_xing_xiang', 'la_la_shan']"
"['來義', '文樂']","[(120.676509, 22.526123), (120.624444, 22.491944)]","['lai_yi', 'wen_le']"
"['峨嵋', '藤坪', '六寮']","[(121.0198452, 24.6887241), (120.884606, 24.631933), (121.357094, 24.8650722)]","['e_mei', 'teng_ping', 'liu_liao']"
"['八斗子火車站', '潮境公園']","[(121.8049774, 25.1343884), (121.80348953813831, 25.1435947)]","['ba_dou_zi_huo_che_zhan', 'chao_jing_gong_yuan']"
"['澎湖', '湖西', '林投公園', '隘門沙灘']","[(119.5664543, 23.569694), (119.659652, 23.585303), (119.64189411809777, 23.55938995), (119.64024589146973, 23.556846999999998)]","['peng_hu', 'hu_xi', 'lin_tou_gong_yuan', 'ai_men_sha_tan']"
"['梅山', '太平雲梯', '雲之南道', '太平老街']","[(121.153268, 22.914788), (120.5977992, 23.5586479), (120.5975419, 23.5573723), (120.6042718, 23.560918)]","['mei_shan', 'tai_ping_yun_ti', 'yun_zhi_nan_dao', 'tai_ping_lao_jie']"
"['中壢區', '內厝里']","[(121.224926, 24.9653531), (120.24342270446222, 23.4712746)]","['zhong_li_qu', 'nei_cuo_li']"
"['員山鄉', '烏來區']","[(121.723372, 24.743183), (121.5512547, 24.8639758)]","['yuan_shan_xiang', 'wu_lai_qu']"
"['北門', '臺灣博物館']","[(120.4546634665902, 23.487623499999998), (121.51500289279042, 25.0427647)]","['bei_men', 'tai_wan_bo_wu_guan']"
"['褒忠鄉', '五年千歲公園']","[(120.310488, 23.694245), (120.27721018188782, 23.6986457)]","['bao_zhong_xiang', 'wu_nian_qian_sui_gong_yuan']"
"['楠西', '灣丘溪']","[(120.48691724798192, 23.17664495), (120.5479386, 23.1726167)]","['nan_xi', 'wan_qiu_xi']"
"['達仁', '土坂']","[(121.23101220897453, 24.9919458), (120.886944, 22.453611)]","['da_ren', 'tu_ban']"
"['中西區', '府前路一段']","[(120.2059575, 22.9921516), (120.1978003, 22.9904574)]","['zhong_xi_qu', 'fu_qian_lu_yi_duan']"
"['文山區', '木柵', '貓空']","[(121.570458, 24.989786), (121.573192, 24.9982657), (121.5868162, 24.9673472)]","['wen_shan_qu', 'mu_shan', 'mao_kong']"
"['澎湖', '望安', '七美', '馬公']","[(119.5664543, 23.569694), (121.0211, 23.690257), (119.4238371, 23.2066663), (119.5654303, 23.5647819)]","['peng_hu', 'wang_an', 'qi_mei', 'ma_gong']"
"['日月潭', '水社碼頭', '向山自行車道', '永結橋', '同心橋', '向山']","[(120.92860700524224, 23.8523282), (120.9119464, 23.8643912), (120.9054419, 23.853715), (120.9020909, 23.8545984), (120.9560944, 24.1649596), (121.3481143, 23.7998275)]","['ri_yue_tan', 'shui_she_ma_tou', 'xiang_shan_zi_xing_che_dao', 'yong_jie_qiao', 'tong_xin_qiao', 'xiang_shan']"
"['泰武', '萬安', '北溪']","[(119.634228, 23.5713897), (121.219167, 23.093611), (121.284587, 23.039702)]","['tai_wu', 'wan_an', 'bei_xi']"
"['鹽埕區', '三民區']","[(120.286795, 22.624666), (120.2996219, 22.6476949)]","['yan_cheng_qu', 'san_min_qu']"
"['日月潭', '向山遊客中心', '拉魯觀景台']","[(120.92860700524224, 23.8523282), (120.9019718, 23.8519763), (120.68081655539143, 24.13756705)]","['ri_yue_tan', 'xiang_shan_you_ke_zhong_xin', 'la_lu_guan_jing_tai']"
"['拉克斯溪', '復興部落', '南橫公路']","[(120.8586231, 23.2019398), (121.33193936072337, 24.7937796), (120.91894803832491, 23.241949499999997)]","['la_ke_si_xi', 'fu_xing_bu_luo', 'nan_heng_gong_lu']"
"['鹽寮海岸', '清水斷崖']","[(120.9051055, 24.7525024), (121.6781237, 24.2100651)]","['yan_liao_hai_an', 'qing_shui_duan_ya']"
"['三仙台', '金樽', '比西里岸']","[(121.41775146263555, 23.12526385), (121.289722, 22.958889), (121.3995964, 23.1299997)]","['san_xian_tai', 'jin_zun', 'bi_xi_li_an']"
"['宮原眼科', '逢甲夜市', '台灣太陽餅博物館']","[(120.6835697, 24.1378509), (120.64660436601397, 24.1773506), (120.6824495, 24.1397387)]","['gong_yuan_yan_ke', 'feng_jia_ye_shi', 'tai_wan_tai_yang_bing_bo_wu_guan']"
"['圓山', '劍潭捷運站']","[(121.5201361, 25.0714175), (121.52531, 25.08577)]","['yuan_shan', 'jian_tan_jie_yun_zhan']"
"['烏來', '礁溪']","[(121.5512547, 24.8639758), (121.7754851, 24.826803)]","['wu_lai', 'jiao_xi']"
"['金山', '萬里', '翡翠灣', '野柳']","[(120.390833, 22.806389), (120.480833, 22.9), (121.6831675, 25.1869292), (121.6886491, 25.2038994)]","['jin_shan', 'wan_li', 'fei_cui_wan', 'ye_liu']"
"['福隆', '草嶺古道', '桃源谷', '大溪']","[(121.9445761, 25.015692), (121.925065, 24.9904209), (121.8968286, 24.9429326), (121.8897414, 24.9384749)]","['fu_long', 'cao_ling_gu_dao', 'tao_yuan_gu', 'da_xi']"
"['麻豆', '總爺藝文中心', '顏水龍紀念館']","[(120.2682529, 23.1932242), (120.26869469847982, 23.186100449999998), (120.26859039779413, 23.184970149999998)]","['ma_dou', 'zong_ye_yi_wen_zhong_xin', 'yan_shui_long_ji_nian_guan']"
"['埔鹽', '溪湖']","[(120.4630117, 24.0003071), (120.483211, 23.9665955)]","['pu_yan', 'xi_hu']"
"['圓山大飯店', '劍潭公園']","[(121.5262058628663, 25.078765349999998), (120.16813107268852, 22.998910600000002)]","['yuan_shan_da_fan_dian', 'jian_tan_gong_yuan']"
"['新店', '銀河洞', '烏來']","[(121.5376991, 24.9580443), (121.58334906671386, 24.9585553), (121.5512547, 24.8639758)]","['xin_dian', 'yin_he_dong', 'wu_lai']"
"['烏日區', '高鐵五路']","[(120.6238055, 24.1046957), (120.817859, 24.6057231)]","['wu_ri_qu', 'gao_tie_wu_lu']"
"['嘉義公園', '檜意森活村']","[(120.46623907300605, 23.4820729), (120.45456803709882, 23.485732849999998)]","['jia_yi_gong_yuan', 'gui_yi_sen_huo_cun']"
"['埔里', '內湖']","[(120.9691462, 23.9666667), (121.5944358, 25.0837198)]","['pu_li', 'nei_hu']"
"['石城', '大里', '大溪']","[(121.9454217, 24.9783178), (121.9226416, 24.9665436), (121.8897414, 24.9384749)]","['shi_cheng', 'da_li', 'da_xi']"
"['中山北路二段', '長春路', '林森北路']","[(121.1732571, 24.9103758), (121.2493681, 24.9787266), (121.5256787, 25.0653871)]","['zhong_shan_bei_lu_er_duan', 'zhang_chun_lu', 'lin_sen_bei_lu']"
"['士林區', '圓山']","[(121.5242068, 25.0918396), (121.5201361, 25.0714175)]","['shi_lin_qu', 'yuan_shan']"
"['日月潭', '拉魯島', '玄光寺']","[(120.92860700524224, 23.8523282), (120.91128429074075, 23.855692849999997), (120.9136523042333, 23.852100200000002)]","['ri_yue_tan', 'la_lu_dao', 'xuan_guang_si']"
"['三貂嶺', '平溪線']","[(121.8223757, 25.0661013), (121.6824405, 25.0824293)]","['san_diao_ling', 'ping_xi_xian']"
"['石門水庫', '拉拉山']","[(121.30147092434666, 24.8112503), (121.434113, 24.730383)]","['shi_men_shui_ku', 'la_la_shan']"
"['大社區', '觀音山']","[(120.3466353, 22.7299662), (121.4266759, 25.135939)]","['da_she_qu', 'guan_yin_shan']"
"['新市', '左鎮', '北區', '中西區', '南區']","[(120.2896259, 23.0683064), (120.4075008, 23.0583523), (120.6823178, 24.1660393), (120.2059575, 22.9921516), (120.6636082, 24.1170787)]","['xin_shi', 'zuo_zhen', 'bei_qu', 'zhong_xi_qu', 'nan_qu']"
"['合歡山北峰', '小風口第二停車場']","[(121.281598, 24.1815171), (121.28803130416381, 24.16220105)]","['he_huan_shan_bei_feng', 'xiao_feng_kou_di_er_ting_che_chang']"
"['三重', '台北橋站']","[(121.4829048, 25.0546986), (121.5005513, 25.0631779)]","['san_chong', 'tai_bei_qiao_zhan']"
"['秀林鄉', '台線', '蘇花']","[(121.6260891, 24.1201557), (121.0467918, 22.6903122), (121.0917381234238, 22.7597066)]","['xiu_lin_xiang', 'tai_xian', 'su_hua']"
"['關子嶺', '白河']","[(120.5030966, 23.3359971), (120.4158132, 23.3470452)]","['guan_zi_ling', 'bai_he']"
"['員林', '北斗', '斗六']","[(120.5696323, 23.9593485), (120.4616317, 23.5337009), (120.5411553, 23.7118077)]","['yuan_lin', 'bei_dou', 'dou_liu']"
"['中山區', '大直', '美麗華摩天輪']","[(121.533468, 25.0643611), (121.5474402, 25.0798652), (121.5577814, 25.0827756)]","['zhong_shan_qu', 'da_zhi', 'mei_li_hua_mo_tian_lun']"
"['五股區', '淡水河', '觀音山']","[(121.438156, 25.082743), (121.3643076, 24.7861591), (121.4266759, 25.135939)]","['wu_gu_qu', 'dan_shui_he', 'guan_yin_shan']"
"['蕭壟文化園區', '佳里糖廠']","[(120.17689645764642, 23.17433945), (120.17689645764642, 23.17433945)]","['xiao_long_wen_hua_yuan_qu', 'jia_li_tang_chang']"
"['玉井', '白河', '楠西', '東山', '南化', '龍崎']","[(120.4158132, 23.3470452), (120.48691724798192, 23.17664495), (120.9651927, 23.4707431), (120.476755, 23.0425701), (120.3602133, 22.9647939), (120.7331688, 23.8075076)]","['yu_jing', 'bai_he', 'nan_xi', 'dong_shan', 'nan_hua', 'long_qi']"
"['阿里山', '石棹']","[(120.8097545, 23.5150347), (120.700213, 23.4746763)]","['a_li_shan', 'shi_zhao']"
"['新化', '南區', '龍崎', '左鎮', '南化', '白河', '永康', '佳里']","[(120.8575, 22.381111), (120.6636082, 24.1170787), (120.3602133, 22.9647939), (120.4075008, 23.0583523), (120.476755, 23.0425701), (120.4158132, 23.3470452), (120.2534441, 23.0385558), (121.6072276, 24.0204842)]","['xin_hua', 'nan_qu', 'long_qi', 'zuo_zhen', 'nan_hua', 'bai_he', 'yong_kang', 'jia_li']"
"['萬華區', '三水街']","[(121.4993322, 25.0319327), (120.5419882, 22.5579094)]","['wan_hua_qu', 'san_shui_jie']"
"['石碇', '千島湖', '坪林']","[(121.6589174, 24.9913371), (120.38140134205298, 22.728443499999997), (120.875026, 24.334695)]","['shi_ding', 'qian_dao_hu', 'ping_lin']"
"['深澳', '八斗子']","[(121.8154139, 25.1292793), (121.7960863, 25.1396276)]","['shen_ao', 'ba_dou_zi']"
"['冬山鄉', '新寮']","[(121.79228, 24.634514), (120.2395825, 23.4506406)]","['dong_shan_xiang', 'xin_liao']"
"['中和', '土城', '新店']","[(120.826595, 24.158224), (121.444391, 24.9731817), (121.5376991, 24.9580443)]","['zhong_he', 'tu_cheng', 'xin_dian']"
"['斗六', '檨仔坑']","[(120.5411553, 23.7118077), (120.4428418, 23.3247814)]","['dou_liu', 'she_zai_keng']"
"['瑞穗', '富興社區']","[(121.3765669, 23.497742), (121.2831968, 24.9351129)]","['rui_sui', 'fu_xing_she_qu']"
"['左營', '蓮潭路', '生態園區站']","[(120.2937537, 22.6739898), (120.3068639, 23.1135695), (120.3063428, 22.6764628)]","['zuo_ying', 'lian_tan_lu', 'sheng_tai_yuan_qu_zhan']"
"['義林部落', '丹林溪']","[(121.77164767325624, 24.68385515), (120.635548, 22.516271)]","['yi_lin_bu_luo', 'dan_lin_xi']"
"['七美嶼', '東吉嶼']","[(119.43166209177184, 23.2039805), (119.67104179861056, 23.253708699999997)]","['qi_mei_yu', 'dong_ji_yu']"
"['梓官', '蚵仔寮漁港']","[(120.2670664, 22.7598137), (120.2543586433324, 22.726225200000002)]","['zi_guan', 'he_zai_liao_yu_gang']"
"['三峽', '板橋']","[(121.3752452, 24.936167), (121.4642616, 25.0137054)]","['san_xia', 'ban_qiao']"
"['三星鄉', '田心橋']","[(121.6532292, 24.6659634), (120.791863, 24.6188192)]","['san_xing_xiang', 'tian_xin_qiao']"
"['中正區', '市民大道三段']","[(121.518267, 25.0323611), (121.5317796, 25.0456543)]","['zhong_zheng_qu', 'shi_min_da_dao_san_duan']"
"['關廟', '將軍', '北門', '永康', '南區（台南市）', '中西區（台南)']","[(120.7331688, 23.8075076), (120.1381823, 23.2164647), (120.4546634665902, 23.487623499999998), (120.2534441, 23.0385558), (120.66839092779189, 24.121627), (120.2843, 23.1512)]","['guan_miao', 'jiang_jun', 'bei_men', 'yong_kang', 'nan_qu_（_tai_nan_shi_）', 'zhong_xi_qu_（_tai_nan_)']"
"['淡水', '金山', '貢寮', '頭城']","[(121.4531477, 25.1813044), (120.390833, 22.806389), (121.9088474, 25.0218603), (121.822294, 24.8590462)]","['dan_shui', 'jin_shan', 'gong_liao', 'tou_cheng']"
"['淡水', '漁人碼頭']","[(121.4531477, 25.1813044), (121.40833834028217, 25.183557299999997)]","['dan_shui', 'yu_ren_ma_tou']"
"['公館商圈', '寶藏巖', '古亭河濱公園']","[(121.52476082616568, 25.0635877), (121.53317970725134, 25.0105304), (121.52422282056236, 25.016511899999998)]","['gong_guan_shang_quan', 'bao_cang_yan', 'gu_ting_he_bin_gong_yuan']"
"['鹽埕', '駁二']","[(120.1894972, 22.9687594), (120.2851941, 22.6185583)]","['yan_cheng', 'bo_er']"
"['澎湖', '望安', '七美']","[(119.5664543, 23.569694), (121.0211, 23.690257), (119.4238371, 23.2066663)]","['peng_hu', 'wang_an', 'qi_mei']"
"['竹崎', '阿里山']","[(120.5536102, 23.5256223), (120.8097545, 23.5150347)]","['zhu_qi', 'a_li_shan']"
"['福壽山農場', '松雪樓', '梨山']","[(121.24638908387874, 24.24685915), (121.2846664, 24.1422966), (121.25615, 24.25601)]","['fu_shou_shan_nong_chang', 'song_xue_lou', 'li_shan']"
"['白河', '楠西', '東山']","[(120.4158132, 23.3470452), (120.48691724798192, 23.17664495), (120.9651927, 23.4707431)]","['bai_he', 'nan_xi', 'dong_shan']"
"['白河', '南化', '龍崎', '左鎮']","[(120.4158132, 23.3470452), (120.476755, 23.0425701), (120.3602133, 22.9647939), (120.4075008, 23.0583523)]","['bai_he', 'nan_hua', 'long_qi', 'zuo_zhen']"
"['六龜', '不老溫泉']","[(120.633418, 22.997914), (121.52344091672734, 25.04441075)]","['liu_gui', 'bu_lao_wen_quan']"
"['新店', '貓空']","[(121.5376991, 24.9580443), (121.5868162, 24.9673472)]","['xin_dian', 'mao_kong']"
"['石城漁港', '龜山島']","[(121.95067733871633, 24.9796807), (121.94937663222024, 24.84299665)]","['shi_cheng_yu_gang', 'gui_shan_dao']"
"['三星鄉', '清水地熱', '天送埤車站', '冬山鄉']","[(121.6532292, 24.6659634), (121.636183, 24.6131256), (121.61985515, 24.66239345), (121.79228, 24.634514)]","['san_xing_xiang', 'qing_shui_di_re', 'tian_song_pi_che_zhan', 'dong_shan_xiang']"
"['大臺北都會公園', '幸福水漾園區']","[(121.4562781875846, 25.0746651), (121.4471310165109, 25.165780650000002)]","['da_tai_bei_dou_hui_gong_yuan', 'xing_fu_shui_yang_yuan_qu']"
"['三星鄉', '天送埤火車站']","[(121.6532292, 24.6659634), (121.61985515, 24.66239345)]","['san_xing_xiang', 'tian_song_pi_huo_che_zhan']"
"['竹山', '杉林溪']","[(120.518987, 23.455812), (120.545335, 22.997261)]","['zhu_shan', 'shan_lin_xi']"
"['東澳灣', '烏岩角', '烏石鼻', '粉鳥林']","[(121.85192222204567, 24.505265), (121.8753409, 24.5343773), (121.8586296, 24.4812235), (121.8415953, 24.4969466)]","['dong_ao_wan', 'wu_yan_jiao', 'wu_shi_bi', 'fen_niao_lin']"
"['楠梓區', '前鎮區', '東港']","[(120.3262434, 22.7283255), (120.318583, 22.586425), (120.1904496, 23.1066689)]","['nan_zi_qu', 'qian_zhen_qu', 'dong_gang']"
"['南港', '深坑', '石碇']","[(121.6072576, 25.0528686), (121.4797313, 24.9538301), (121.6589174, 24.9913371)]","['nan_gang', 'shen_keng', 'shi_ding']"
"['情人湖', '大武崙砲台']","[(121.70509710987885, 25.159240099999998), (121.70827575183314, 25.1588668)]","['qing_ren_hu', 'da_wu_lun_pao_tai']"
"['新豐', '竹南', '通霄']","[(120.9965344, 24.8692766), (120.8807486, 24.6865595), (120.6783718, 24.4917497)]","['xin_feng', 'zhu_nan', 'tong_xiao']"
"['扇形車庫', '民生地下道', '辭修路']","[(120.5401255, 24.0861086), (121.5330231, 25.0579438), (121.4298313, 25.057914)]","['shan_xing_che_ku', 'min_sheng_di_xia_dao', 'ci_xiu_lu']"
"['北區', '府城']","[(120.6823178, 24.1660393), (120.5579244, 24.0836083)]","['bei_qu', 'fu_cheng']"
"['瑞芳', '九份', '金瓜石']","[(121.8065585, 25.1090106), (121.845069, 25.1116561), (121.8560784, 25.108391)]","['rui_fang', 'jiu_fen', 'jin_gua_shi']"
